Pavarde          Vardas           ND1              ND2              ND3              ND4              ND5              Egz.             
Pavarde8759      Vardas8759       0                0                1                6                6                10               
Pavarde8760      Vardas8760       7                7                2                0                3                7                
Pavarde8761      Vardas8761       7                2                2                3                0                3                
Pavarde8762      Vardas8762       5                1                8                7                4                6                
Pavarde8763      Vardas8763       6                4                8                5                6                9                
Pavarde8764      Vardas8764       5                7                2                3                7                9                
Pavarde8765      Vardas8765       8                0                3                6                8                5                
Pavarde8766      Vardas8766       6                4                6                2                4                6                
Pavarde8767      Vardas8767       0                7                5                3                0                5                
Pavarde8768      Vardas8768       5                4                9                6                6                2                
Pavarde8769      Vardas8769       5                2                7                9                9                5                
Pavarde8770      Vardas8770       6                4                10               8                2                3                
Pavarde8771      Vardas8771       2                2                5                4                6                2                
Pavarde8772      Vardas8772       0                5                10               2                0                10               
Pavarde8773      Vardas8773       0                8                5                1                5                3                
Pavarde8774      Vardas8774       6                10               1                3                7                1                
Pavarde8775      Vardas8775       9                8                5                7                6                8                
Pavarde8776      Vardas8776       2                10               0                8                0                2                
Pavarde8777      Vardas8777       6                9                7                8                3                8                
Pavarde8778      Vardas8778       5                3                0                9                8                3                
Pavarde8779      Vardas8779       4                1                3                8                5                7                
Pavarde8780      Vardas8780       7                6                10               5                5                1                
Pavarde8781      Vardas8781       10               1                3                7                8                2                
Pavarde8782      Vardas8782       3                4                3                7                4                9                
Pavarde8783      Vardas8783       6                5                3                0                0                7                
Pavarde8784      Vardas8784       1                0                10               3                2                10               
Pavarde8785      Vardas8785       10               8                9                10               6                5                
Pavarde8786      Vardas8786       1                4                8                8                0                7                
Pavarde8787      Vardas8787       2                7                3                10               3                0                
Pavarde8788      Vardas8788       8                9                5                7                7                8                
Pavarde8789      Vardas8789       7                6                10               1                6                1                
Pavarde8790      Vardas8790       8                8                4                10               0                5                
Pavarde8791      Vardas8791       9                10               8                2                8                8                
Pavarde8792      Vardas8792       6                3                7                9                10               5                
Pavarde8793      Vardas8793       7                1                10               2                0                2                
Pavarde8794      Vardas8794       2                3                6                10               10               10               
Pavarde8795      Vardas8795       8                4                6                7                0                4                
Pavarde8796      Vardas8796       7                0                6                2                7                3                
Pavarde8797      Vardas8797       2                9                5                9                0                6                
Pavarde8798      Vardas8798       2                1                3                0                4                1                
Pavarde8799      Vardas8799       4                3                10               5                0                9                
Pavarde8800      Vardas8800       5                4                6                1                10               1                
Pavarde8801      Vardas8801       3                9                3                2                4                2                
Pavarde8802      Vardas8802       2                7                3                5                6                10               
Pavarde8803      Vardas8803       0                1                0                9                9                8                
Pavarde8804      Vardas8804       1                5                2                4                2                3                
Pavarde8805      Vardas8805       7                4                1                0                10               0                
Pavarde8806      Vardas8806       1                8                2                6                3                10               
Pavarde8807      Vardas8807       5                1                4                1                7                2                
Pavarde8808      Vardas8808       4                0                3                3                1                8                
Pavarde8809      Vardas8809       6                0                6                7                8                2                
Pavarde8810      Vardas8810       4                8                4                5                2                1                
Pavarde8811      Vardas8811       5                7                7                1                5                10               
Pavarde8812      Vardas8812       4                10               8                4                8                0                
Pavarde8813      Vardas8813       10               2                0                0                9                9                
Pavarde8814      Vardas8814       5                2                7                5                8                5                
Pavarde8815      Vardas8815       1                1                5                10               6                6                
Pavarde8816      Vardas8816       5                3                4                3                9                2                
Pavarde8817      Vardas8817       4                6                6                5                3                10               
Pavarde8818      Vardas8818       3                4                1                8                8                5                
Pavarde8819      Vardas8819       8                2                9                5                8                5                
Pavarde8820      Vardas8820       0                5                3                6                9                1                
Pavarde8821      Vardas8821       10               5                10               10               6                4                
Pavarde8822      Vardas8822       10               8                1                9                6                4                
Pavarde8823      Vardas8823       0                9                2                6                3                7                
Pavarde8824      Vardas8824       5                6                3                0                0                10               
Pavarde8825      Vardas8825       4                4                1                0                7                6                
Pavarde8826      Vardas8826       5                6                7                4                2                10               
Pavarde8827      Vardas8827       0                7                1                9                5                10               
Pavarde8828      Vardas8828       5                3                7                8                7                8                
Pavarde8829      Vardas8829       1                8                5                10               2                3                
Pavarde8830      Vardas8830       8                1                8                4                5                6                
Pavarde8831      Vardas8831       6                0                6                8                10               6                
Pavarde8832      Vardas8832       5                8                9                5                9                3                
Pavarde8833      Vardas8833       1                0                10               10               6                5                
Pavarde8834      Vardas8834       8                7                10               7                6                10               
Pavarde8835      Vardas8835       3                3                8                6                8                3                
Pavarde8836      Vardas8836       10               9                0                7                1                1                
Pavarde8837      Vardas8837       3                1                2                7                6                3                
Pavarde8838      Vardas8838       1                6                2                9                9                1                
Pavarde8839      Vardas8839       7                4                4                6                8                8                
Pavarde8840      Vardas8840       1                4                3                9                7                1                
Pavarde8841      Vardas8841       0                0                8                5                8                4                
Pavarde8842      Vardas8842       3                5                5                9                3                2                
Pavarde8843      Vardas8843       8                10               1                8                9                4                
Pavarde8844      Vardas8844       7                1                0                10               9                4                
Pavarde8845      Vardas8845       5                8                9                10               10               10               
Pavarde8846      Vardas8846       1                6                10               4                7                0                
Pavarde8847      Vardas8847       10               6                1                2                2                9                
Pavarde8848      Vardas8848       5                8                4                5                0                1                
Pavarde8849      Vardas8849       7                10               7                6                10               1                
Pavarde8850      Vardas8850       0                7                6                6                10               6                
Pavarde8851      Vardas8851       2                9                9                8                7                7                
Pavarde8852      Vardas8852       9                7                10               6                4                3                
Pavarde8853      Vardas8853       8                3                5                2                2                8                
Pavarde8854      Vardas8854       10               3                3                1                0                2                
Pavarde8855      Vardas8855       9                0                10               3                3                1                
Pavarde8856      Vardas8856       1                0                1                4                3                5                
Pavarde8857      Vardas8857       9                4                0                1                5                4                
Pavarde8858      Vardas8858       3                6                5                9                9                0                
Pavarde8859      Vardas8859       8                5                10               7                6                2                
Pavarde8860      Vardas8860       9                8                6                4                3                2                
Pavarde8861      Vardas8861       8                5                5                7                3                6                
Pavarde8862      Vardas8862       2                2                1                7                2                8                
Pavarde8863      Vardas8863       4                4                7                0                0                7                
Pavarde8864      Vardas8864       5                3                7                10               1                10               
Pavarde8865      Vardas8865       7                2                3                9                10               2                
Pavarde8866      Vardas8866       4                6                3                2                8                1                
Pavarde8867      Vardas8867       1                10               9                8                7                5                
Pavarde8868      Vardas8868       2                3                6                1                4                8                
Pavarde8869      Vardas8869       10               0                6                9                2                6                
Pavarde8870      Vardas8870       4                9                0                3                3                9                
Pavarde8871      Vardas8871       1                7                8                3                7                0                
Pavarde8872      Vardas8872       9                2                8                0                0                7                
Pavarde8873      Vardas8873       4                10               0                4                4                5                
Pavarde8874      Vardas8874       2                9                5                10               2                7                
Pavarde8875      Vardas8875       8                5                8                0                10               0                
Pavarde8876      Vardas8876       3                4                5                4                5                6                
Pavarde8877      Vardas8877       8                2                5                8                8                1                
Pavarde8878      Vardas8878       10               0                1                7                1                1                
Pavarde8879      Vardas8879       3                10               2                7                7                0                
Pavarde8880      Vardas8880       5                9                3                10               2                6                
Pavarde8881      Vardas8881       4                2                10               10               8                4                
Pavarde8882      Vardas8882       1                10               5                0                7                5                
Pavarde8883      Vardas8883       10               6                2                6                0                0                
Pavarde8884      Vardas8884       7                1                1                0                0                4                
Pavarde8885      Vardas8885       2                1                3                8                2                4                
Pavarde8886      Vardas8886       7                5                4                4                6                5                
Pavarde8887      Vardas8887       5                1                8                7                4                6                
Pavarde8888      Vardas8888       10               6                2                1                0                7                
Pavarde8889      Vardas8889       5                8                1                7                5                8                
Pavarde8890      Vardas8890       4                6                4                6                8                4                
Pavarde8891      Vardas8891       0                9                10               7                3                9                
Pavarde8892      Vardas8892       9                6                10               0                10               1                
Pavarde8893      Vardas8893       9                7                0                10               10               10               
Pavarde8894      Vardas8894       0                9                1                0                4                7                
Pavarde8895      Vardas8895       9                4                2                9                5                10               
Pavarde8896      Vardas8896       7                6                8                8                10               5                
Pavarde8897      Vardas8897       1                7                0                4                3                3                
Pavarde8898      Vardas8898       5                0                7                2                8                1                
Pavarde8899      Vardas8899       4                7                3                2                5                9                
Pavarde8900      Vardas8900       9                5                3                8                10               8                
Pavarde8901      Vardas8901       4                2                0                3                3                7                
Pavarde8902      Vardas8902       4                2                10               0                7                7                
Pavarde8903      Vardas8903       10               1                0                0                7                9                
Pavarde8904      Vardas8904       7                0                4                8                4                2                
Pavarde8905      Vardas8905       0                2                6                3                7                10               
Pavarde8906      Vardas8906       5                0                5                5                7                6                
Pavarde8907      Vardas8907       9                5                2                1                4                7                
Pavarde8908      Vardas8908       0                8                7                4                3                0                
Pavarde8909      Vardas8909       4                10               4                3                6                8                
Pavarde8910      Vardas8910       2                10               5                10               9                8                
Pavarde8911      Vardas8911       7                1                4                3                2                8                
Pavarde8912      Vardas8912       7                8                0                7                3                8                
Pavarde8913      Vardas8913       8                5                7                6                4                10               
Pavarde8914      Vardas8914       9                7                7                8                6                2                
Pavarde8915      Vardas8915       1                8                5                5                8                7                
Pavarde8916      Vardas8916       5                0                1                0                3                9                
Pavarde8917      Vardas8917       5                6                6                9                5                9                
Pavarde8918      Vardas8918       0                8                10               9                6                8                
Pavarde8919      Vardas8919       0                3                3                0                7                6                
Pavarde8920      Vardas8920       7                6                5                0                0                9                
Pavarde8921      Vardas8921       1                9                8                10               4                8                
Pavarde8922      Vardas8922       8                5                1                7                3                6                
Pavarde8923      Vardas8923       1                10               3                6                1                3                
Pavarde8924      Vardas8924       5                5                2                2                2                2                
Pavarde8925      Vardas8925       9                2                4                7                0                5                
Pavarde8926      Vardas8926       3                1                9                9                5                0                
Pavarde8927      Vardas8927       0                8                3                2                6                3                
Pavarde8928      Vardas8928       7                0                10               4                8                1                
Pavarde8929      Vardas8929       5                10               2                3                2                6                
Pavarde8930      Vardas8930       1                2                6                8                0                7                
Pavarde8931      Vardas8931       4                8                3                10               8                9                
Pavarde8932      Vardas8932       9                2                6                8                6                4                
Pavarde8933      Vardas8933       9                9                3                10               5                0                
Pavarde8934      Vardas8934       0                2                3                0                3                7                
Pavarde8935      Vardas8935       0                10               6                4                8                6                
Pavarde8936      Vardas8936       3                1                7                7                0                3                
Pavarde8937      Vardas8937       3                9                7                3                9                9                
Pavarde8938      Vardas8938       9                3                10               3                10               10               
Pavarde8939      Vardas8939       2                6                9                7                6                5                
Pavarde8940      Vardas8940       7                4                6                0                10               2                
Pavarde8941      Vardas8941       3                5                3                2                1                5                
Pavarde8942      Vardas8942       9                0                0                7                0                3                
Pavarde8943      Vardas8943       2                3                8                2                5                7                
Pavarde8944      Vardas8944       3                10               0                9                6                7                
Pavarde8945      Vardas8945       10               10               7                1                0                0                
Pavarde8946      Vardas8946       9                8                5                8                8                7                
Pavarde8947      Vardas8947       0                8                7                5                8                0                
Pavarde8948      Vardas8948       6                0                8                1                7                7                
Pavarde8949      Vardas8949       8                8                10               3                8                1                
Pavarde8950      Vardas8950       8                3                8                1                4                10               
Pavarde8951      Vardas8951       10               2                4                8                7                4                
Pavarde8952      Vardas8952       9                10               0                4                6                3                
Pavarde8953      Vardas8953       2                5                5                1                1                4                
Pavarde8954      Vardas8954       10               4                9                1                7                5                
Pavarde8955      Vardas8955       8                10               0                7                2                4                
Pavarde8956      Vardas8956       0                5                8                7                3                10               
Pavarde8957      Vardas8957       7                7                0                10               10               6                
Pavarde8958      Vardas8958       5                5                10               4                3                2                
Pavarde8959      Vardas8959       1                4                10               8                4                4                
Pavarde8960      Vardas8960       8                1                4                3                10               3                
Pavarde8961      Vardas8961       9                3                4                10               7                2                
Pavarde8962      Vardas8962       7                8                0                5                5                3                
Pavarde8963      Vardas8963       9                0                5                7                1                10               
Pavarde8964      Vardas8964       1                2                6                1                2                6                
Pavarde8965      Vardas8965       0                7                1                6                3                3                
Pavarde8966      Vardas8966       8                4                6                9                8                4                
Pavarde8967      Vardas8967       4                4                10               3                2                5                
Pavarde8968      Vardas8968       8                2                10               6                3                10               
Pavarde8969      Vardas8969       7                4                5                2                9                7                
Pavarde8970      Vardas8970       7                9                9                3                8                8                
Pavarde8971      Vardas8971       6                10               10               6                4                10               
Pavarde8972      Vardas8972       1                3                5                1                3                1                
Pavarde8973      Vardas8973       2                3                8                2                8                7                
Pavarde8974      Vardas8974       0                3                0                6                2                8                
Pavarde8975      Vardas8975       3                6                9                6                8                2                
Pavarde8976      Vardas8976       7                4                0                6                10               5                
Pavarde8977      Vardas8977       3                6                4                7                5                7                
Pavarde8978      Vardas8978       2                6                8                2                9                9                
Pavarde8979      Vardas8979       0                7                4                9                8                1                
Pavarde8980      Vardas8980       10               6                4                6                9                5                
Pavarde8981      Vardas8981       5                2                10               4                2                1                
Pavarde8982      Vardas8982       0                6                10               3                4                2                
Pavarde8983      Vardas8983       10               2                7                6                5                8                
Pavarde8984      Vardas8984       2                1                7                9                4                9                
Pavarde8985      Vardas8985       7                9                6                5                4                9                
Pavarde8986      Vardas8986       1                0                3                1                3                7                
Pavarde8987      Vardas8987       4                7                6                9                9                9                
Pavarde8988      Vardas8988       2                2                0                10               9                2                
Pavarde8989      Vardas8989       5                9                1                4                9                2                
Pavarde8990      Vardas8990       7                7                7                0                4                0                
Pavarde8991      Vardas8991       10               0                5                2                2                3                
Pavarde8992      Vardas8992       8                6                6                8                10               2                
Pavarde8993      Vardas8993       1                3                7                4                9                9                
Pavarde8994      Vardas8994       1                9                7                6                5                9                
Pavarde8995      Vardas8995       10               8                1                8                2                0                
Pavarde8996      Vardas8996       5                2                7                9                4                5                
Pavarde8997      Vardas8997       2                3                1                10               7                1                
Pavarde8998      Vardas8998       3                4                7                1                7                2                
Pavarde8999      Vardas8999       8                6                4                10               9                7                
Pavarde9000      Vardas9000       7                3                4                1                6                4                
Pavarde9001      Vardas9001       6                0                10               1                9                7                
Pavarde9002      Vardas9002       9                2                6                2                3                3                
Pavarde9003      Vardas9003       10               0                9                6                10               3                
Pavarde9004      Vardas9004       9                9                5                10               10               8                
Pavarde9005      Vardas9005       1                9                3                9                1                10               
Pavarde9006      Vardas9006       4                6                6                9                8                8                
Pavarde9007      Vardas9007       2                10               8                10               8                2                
Pavarde9008      Vardas9008       0                7                5                10               9                0                
Pavarde9009      Vardas9009       1                8                3                10               8                1                
Pavarde9010      Vardas9010       8                0                10               5                10               6                
Pavarde9011      Vardas9011       2                8                6                7                10               6                
Pavarde9012      Vardas9012       0                3                10               6                4                2                
Pavarde9013      Vardas9013       6                1                0                10               3                8                
Pavarde9014      Vardas9014       5                9                4                2                5                6                
Pavarde9015      Vardas9015       8                9                9                3                8                10               
Pavarde9016      Vardas9016       2                0                8                7                8                6                
Pavarde9017      Vardas9017       9                7                6                1                0                10               
Pavarde9018      Vardas9018       8                8                7                8                0                3                
Pavarde9019      Vardas9019       0                7                8                5                4                2                
Pavarde9020      Vardas9020       4                7                6                10               2                3                
Pavarde9021      Vardas9021       3                4                3                2                2                10               
Pavarde9022      Vardas9022       4                2                6                8                8                5                
Pavarde9023      Vardas9023       10               4                8                4                5                7                
Pavarde9024      Vardas9024       10               8                9                1                0                3                
Pavarde9025      Vardas9025       7                2                4                7                9                7                
Pavarde9026      Vardas9026       9                0                7                10               9                8                
Pavarde9027      Vardas9027       4                5                2                7                10               1                
Pavarde9028      Vardas9028       0                9                1                1                4                9                
Pavarde9029      Vardas9029       0                3                1                6                10               2                
Pavarde9030      Vardas9030       1                9                2                6                5                5                
Pavarde9031      Vardas9031       4                7                7                3                10               4                
Pavarde9032      Vardas9032       1                1                1                2                7                9                
Pavarde9033      Vardas9033       3                0                6                8                7                2                
Pavarde9034      Vardas9034       5                4                3                0                5                1                
Pavarde9035      Vardas9035       9                0                2                8                0                3                
Pavarde9036      Vardas9036       1                8                9                9                7                10               
Pavarde9037      Vardas9037       9                5                8                10               6                7                
Pavarde9038      Vardas9038       4                10               10               4                1                1                
Pavarde9039      Vardas9039       4                3                1                8                8                10               
Pavarde9040      Vardas9040       3                9                3                2                2                8                
Pavarde9041      Vardas9041       6                5                10               8                8                5                
Pavarde9042      Vardas9042       7                4                7                7                7                10               
Pavarde9043      Vardas9043       10               4                8                3                9                3                
Pavarde9044      Vardas9044       8                3                6                4                10               3                
Pavarde9045      Vardas9045       5                10               6                1                3                7                
Pavarde9046      Vardas9046       2                6                3                8                5                3                
Pavarde9047      Vardas9047       1                2                5                8                6                5                
Pavarde9048      Vardas9048       6                1                9                7                4                2                
Pavarde9049      Vardas9049       8                3                10               5                9                10               
Pavarde9050      Vardas9050       10               3                7                9                5                9                
Pavarde9051      Vardas9051       0                6                0                3                2                10               
Pavarde9052      Vardas9052       3                6                7                2                10               3                
Pavarde9053      Vardas9053       3                1                6                0                0                8                
Pavarde9054      Vardas9054       6                2                10               1                7                3                
Pavarde9055      Vardas9055       8                4                0                0                0                5                
Pavarde9056      Vardas9056       9                3                6                8                8                8                
Pavarde9057      Vardas9057       0                6                9                9                2                5                
Pavarde9058      Vardas9058       10               4                5                6                0                10               
Pavarde9059      Vardas9059       7                7                8                8                5                1                
Pavarde9060      Vardas9060       5                0                4                8                7                0                
Pavarde9061      Vardas9061       9                1                9                8                10               0                
Pavarde9062      Vardas9062       1                1                2                9                8                4                
Pavarde9063      Vardas9063       10               8                0                7                6                10               
Pavarde9064      Vardas9064       8                8                7                4                4                6                
Pavarde9065      Vardas9065       4                5                4                6                7                4                
Pavarde9066      Vardas9066       7                7                3                4                3                9                
Pavarde9067      Vardas9067       7                7                1                6                0                9                
Pavarde9068      Vardas9068       3                6                8                3                0                6                
Pavarde9069      Vardas9069       2                9                6                0                7                4                
Pavarde9070      Vardas9070       8                3                1                5                8                3                
Pavarde9071      Vardas9071       1                1                10               8                3                3                
Pavarde9072      Vardas9072       2                6                10               3                4                3                
Pavarde9073      Vardas9073       2                10               1                0                4                1                
Pavarde9074      Vardas9074       7                8                4                10               1                6                
Pavarde9075      Vardas9075       3                6                0                8                9                10               
Pavarde9076      Vardas9076       6                5                1                8                10               9                
Pavarde9077      Vardas9077       3                8                3                9                10               0                
Pavarde9078      Vardas9078       9                9                6                8                3                2                
Pavarde9079      Vardas9079       5                2                6                1                4                8                
Pavarde9080      Vardas9080       10               2                3                10               7                0                
Pavarde9081      Vardas9081       7                7                0                6                8                8                
Pavarde9082      Vardas9082       5                10               7                10               7                3                
Pavarde9083      Vardas9083       0                0                3                6                3                1                
Pavarde9084      Vardas9084       4                1                10               4                4                5                
Pavarde9085      Vardas9085       5                6                7                0                9                1                
